,State,Uni,City
0,Alabama,Auburn University,Auburn
1,Alabama,University of North Alabama,Florence
2,Alabama,Jacksonville State University,Jacksonville
3,Alabama,University of West Alabama,Livingston
4,Alabama,University of Montevallo,Montevallo
5,Alabama,Troy University,Troy
6,Alabama,"University of Alabama, Stillman College, Shelton State",Tuscaloosa
7,Alabama,Tuskegee University,Tuskegee
8,Alaska,University of Alaska Fairbanks,Fairbanks
9,Arizona,Northern Arizona University,Flagstaff
10,Arizona,Arizona State University,Tempe
11,Arizona,University of Arizona,Tucson
12,Arkansas,"Henderson State University, Ouachita Baptist University",Arkadelphia
13,Arkansas,"Central Baptist College, Hendrix College, University of Central Arkansas",Conway
14,Arkansas,University of Arkansas,Fayetteville
15,Arkansas,Arkansas State University,Jonesboro
16,Arkansas,Southern Arkansas University,Magnolia
17,Arkansas,University of Arkansas at Monticello,Monticello
18,Arkansas,Arkansas Tech University,Russellville
19,Arkansas,Harding University,Searcy
20,California,Pacific Union College,Angwin
21,California,Humboldt State University,Arcata
22,California,"University of California, Berkeley",Berkeley
23,California,"California State University, Chico",Chico
24,California,"Claremont McKenna College, Pomona College, Harvey Mudd College, Scripps College, Pitzer College, Keck Graduate Institute, Claremont Graduate University",Claremont
25,California,"California State University, Sonoma",Cotati
26,California,"University of California, Davis",Davis
27,California,"University of California, Irvine",Irvine
28,California,"University of California, Santa Barbara",Isla Vista
29,California,University of Southern California,"University Park, Los Angeles"
30,California,"University of California, Merced",Merced
31,California,Chapman University,Orange
32,California,Stanford University,Palo Alto
33,California,"Cal Poly Pomona, WesternU",Pomona
34,California,University of Redlands,Redlands
35,California,"University of California, Riverside, California Baptist University, La Sierra University",Riverside
36,California,"California State University, Sacramento",Sacramento
37,California,"California State University, San Bernardino, American Sports University","University District, San Bernardino"
38,California,"University of California, San Diego, San Diego State University",San Diego
39,California,California Polytechnic State University,San Luis Obispo
40,California,"Fielding Graduate University, Santa Barbara City College, University of California, Santa Barbara, Westmont College",Santa Barbara
41,California,"University of California, Santa Cruz",Santa Cruz
42,California,"California State University, Stanislaus",Turlock
43,California,"University of California, Los Angeles","Westwood, Los Angeles"
44,California,Whittier CollegeRio Hondo College,Whittier
45,Colorado,Adams State College,Alamosa
46,Colorado,University of Colorado at Boulder,Boulder
47,Colorado,Fort Lewis College,Durango
48,Colorado,Colorado State University,Fort Collins
49,Colorado,Colorado School of Mines,Golden
50,Colorado,Colorado Mesa University,Grand Junction
51,Colorado,University of Northern Colorado,Greeley
52,Colorado,Western State College,Gunnison
53,Colorado,Colorado State University-Pueblo,"Pueblo, Colorado"
54,Connecticut,"Fairfield University, Sacred Heart University",Fairfield
55,Connecticut,Wesleyan University,Middletown
56,Connecticut,Central Connecticut State University,New Britain
57,Connecticut,"Yale University, University of New Haven, Southern Connecticut State University, Albertus Magnus College, Quinnipiac University",New Haven
58,Connecticut,"Connecticut College, US Coast Guard Academy, Mitchell College",New London
59,Connecticut,University of Connecticut,Storrs
60,Connecticut,Eastern Connecticut State University,Willimantic
61,Delaware,Delaware State University,Dover
62,Delaware,University of Delaware,Newark
63,Florida,Ave Maria University,Ave Maria
64,Florida,Florida Atlantic University,Boca Raton
65,Florida,University of Miami,Coral Gables
66,Florida,Stetson University,DeLand
67,Florida,Florida Gulf Coast University,Estero
68,Florida,"University of Florida, Santa Fe College",Gainesville
69,Florida,University of Central Florida,Orlando
70,Florida,"New College of Florida, Ringling College of Art and Design, State College of Florida, Manatee-Sarasota, University of South Florida Sarasota-Manatee",Sarasota
71,Florida,Flagler College,St. Augustine
72,Florida,St. Leo University,St. Leo
73,Florida,"Florida State University, Florida A&M University",Tallahassee
74,Florida,University of South Florida,Tampa
75,Georgia,Albany State University,Albany
76,Georgia,University of Georgia,Athens
77,Georgia,"Georgia State University, Georgia Tech, Emory",Atlanta
78,Georgia,University of West Georgia,Carrollton
79,Georgia,Piedmont College,Demorest
